movie_id;collection_id;collection_name;poster_path;backdrop_path
135659;24717;Johan Falk GSI Collection;/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg;/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg
1359;86105;American Psycho Collection;/ko4O9lcRGYOZAF5Hh79Mfsgjpun.jpg;/5nrkaUQe4m3FLYJrFPGnkMGeQXD.jpg
1366;1575;Rocky Collection;/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg;/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg
1367;1575;Rocky Collection;/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg;/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg
1368;5039;Rambo Collection;/feGOEOVrOLyjtEnVa88rQLgD3XY.jpg;/Yt2ZxbJv2HM842B6FNMr59Vhyb.jpg
1369;5039;Rambo Collection;/feGOEOVrOLyjtEnVa88rQLgD3XY.jpg;/Yt2ZxbJv2HM842B6FNMr59Vhyb.jpg
1370;5039;Rambo Collection;/feGOEOVrOLyjtEnVa88rQLgD3XY.jpg;/Yt2ZxbJv2HM842B6FNMr59Vhyb.jpg
1371;1575;Rocky Collection;/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg;/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg
1374;1575;Rocky Collection;/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg;/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg
137409;404302;Cold War Collection;/kArJSoPLZWLkpezDWHZwaaDL4WX.jpg;/rXnsChrweFItmkA5wPtq4WQdUt6.jpg
1375;1575;Rocky Collection;/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg;/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg
138;221539;Dracula (Universal Series);/srgkikGqQD32mhaq8wT6Qz2eLcD.jpg;/sdbStuQ5qEPZqqWUlNlBd0dPtBT.jpg
138118;24717;Johan Falk GSI Collection;/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg;/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg
138372;436483;Bad Kids Collection;/fMcB1HfoEJHyMFvHXTBWVCHbEnZ.jpg;/9urudq4gLyuTN3b2aiWv9AtDv3k.jpg
140054;140059;We Were Here;/uipXyvDhHihePfBmIZgKSVzfweu.jpg;/jM0z7UrFjH6aJzN21SNkYvND5Re.jpg
140054;140059;We Were Here;/uipXyvDhHihePfBmIZgKSVzfweu.jpg;/jM0z7UrFjH6aJzN21SNkYvND5Re.jpg
1406;150156;City Slickers Collection;/1xHwbqIfBQvxNCkdJwQ5vxFwI5H.jpg;/qv2Bcy963o42k65v0km97G1ceZ4.jpg
141;178106;Darko Collection;/4Oj6ctBucsLvkbKsQMDaDXXR5cu.jpg;/hja7IzXp6how8eD1WHriI386TGY.jpg
141102;144200;Swan Princess Series;/3qBPAUFUMOOT9KqUEYXWAKy93Ge.jpg;/wxKt5KHvMYUSLHvyPf2xj64y3dJ.jpg
