movie_id;company_id;company_name
122924;2090;Motion Picture Corporation of America
122924;8624;Mediapro Studios
122924;25263;Throttle Films
122928;8924;RabbitBandini Productions
122930;8135;Anchor Bay
123;60;United Artists
123;286;Fantasy Films
123103;10246;Cross Creek Pictures
123103;18142;Dragonfly Entertainment
123103;18144;Vertebra Films
123103;18148;Sobras Producciones
123105;7625;Automatik Entertainment
123105;10936;Hydraulx
123105;11407;Baltimore Pictures
123107;3768;Off Hollywood Pictures
123107;14406;Ambush Entertainment
123107;23921;Circle of Confusion
123109;7396;Pathe
123109;10339;WWE Studios
123109;22305;Milk & Media
123109;22306;Constance Media
123229;5358;Canal+
123229;10611;Ciné+
123229;12095;Save Ferris Entertainment
123229;12096;Mandarin Films
123229;12098;Cofimage 23
123229;12099;Sofica Manon 2
123229;12100;Palatine Étoile 9
123235;2902;SND
123235;5358;Canal+
123235;7454;France Télévision
123235;7460;Vendome Pictures
123235;10611;Ciné+
123235;12100;Palatine Étoile 9
123235;15671;France 2 Cinéma
123235;20655;Sofica A Plus Images 3
123235;40274;Dévelopimage
123320;201;Arte
123359;22865;Morbido Films
123359;23457;MPI Media Group
123359;23838;Salto de Fe Films
123553;5755;Constantin Film Produktion
123553;22656;Don Carmody Productions
123553;60746;Unique Features
123553;60747;Mr. Smith Productions
123961;5533;Jerry Lewis Productions
124;1587;P.P. Film Polski
124029;4063;Trimark Pictures
124029;4077;Crystal Sky Worldwide
124029;13427;Prism Entertainment Corporation
124071;3924;Bert Marcus Productions
124085;2901;ADR Productions
124085;16843;Thelma Film AG
124091;1791;Blue Films
124157;3491;Showbox
124277;14747;Zealous Creative
124294;7036;CJ Entertainment
124304;37352;Oscar Kramer S.A.
124304;37353;Aura Film
124304;37354;Mojame S.A.
1244;424;Babelsberg Film GmbH
124414;12514;Slovenská filmová tvorba Koliba (SFT)
124414;18370;Slovenský film Bratislava
124470;15160;Haxan Films
124470;30023;Court Five
124470;46240;Miscellaneous Entertainment
1245;5;Columbia Pictures
1245;2370;Merchant Ivory Productions
124521;1314;Hammer Film Productions
124521;5681;Lippert Films
124527;1314;Hammer Film Productions
124527;1314;Hammer Film Productions
1246;5;Columbia Pictures
1246;497;Revolution Studios
1246;696;Rogue Marble
1246;8411;Metro-Goldwyn-Mayer (MGM)
124623;6802;Dundee Entertainment
124623;14920;Record Farm Industries
124623;14922;Cinovative
124633;393;MACT Productions
124633;5358;Canal+
124633;5983;Stefi 2
124633;16975;Lichtblick Film- und Fernsehproduktion (I)
124633;18188;Magnolia Mae Films
124633;30226;European Co-production Fund
124633;86296;Intrinsica Films
124645;3324;British Broadcasting Corporation (BBC)
1247;33;Universal Pictures
1247;70;American Zoetrope
1247;10210;Morgan Creek Productions
1248;289;Ingenious Film Partners
1248;2979;ETIC Films
1248;6370;Quinta Communications
1248;10308;Dino De Laurentiis Company
1248;16923;Zephyr Films
1248;20394;Young Hannibal Productions
1248;20395;Carthago Films S.a.r.l.
124839;28367;RTV Slovenija
124839;58227;Kinetikon Pictures
124843;3989;C&P Productions
124843;52741;Virgin Wood Productions
1249;10146;Focus Features
124905;882;Toho Company
124905;923;Legendary Pictures
124905;6194;Warner Bros.
124905;10256;Disruption Entertainment
124905;41624;RatPac-Dune Entertainment
124963;4988;Frank Yablans Presentations
124993;4978;Gaumont British Picture Corporation
1250;441;Columbia Pictures Corporation
1250;7295;Relativity Media
1250;11370;Michael De Luca Productions
1250;19551;Marvel Enterprises
1250;20241;Crystal Sky Pictures
1250;20475;GH One
1250;20476;Vengeance Productions Pty. Ltd.
125039;11143;Madragoa Filmes
125077;4688;Concorde-New Horizons
1251;27;DreamWorks SKG
1251;56;Amblin Entertainment
1251;171;Malpaso Productions
1251;6194;Warner Bros.
